,Date,Ticker,Predicted_Pct_Change,Buy
1917,2025-12-16 00:00:00+00:00,SMCI,0.00024077405,1
1655,2025-12-16 00:00:00+00:00,ORCL,0.00024039208,1
1529,2025-12-16 00:00:00+00:00,MU,0.00023722896,1
2101,2025-12-16 00:00:00+00:00,TSLA,0.00017244752,1
2245,2025-12-16 00:00:00+00:00,WBD,0.00017140192,1
1578,2025-12-16 00:00:00+00:00,NOW,0.0001703779,1
209,2025-12-16 00:00:00+00:00,AVGO,0.00017026797,1
2275,2025-12-16 00:00:00+00:00,WMB,0.00016968543,1
536,2025-12-16 00:00:00+00:00,CRWD,0.00016877119,1
968,2025-12-16 00:00:00+00:00,GLW,0.00016789229,1
950,2025-12-16 00:00:00+00:00,GEV,0.00016761025,1
2326,2025-12-16 00:00:00+00:00,ZBH,0.00016667413,1
1350,2025-12-16 00:00:00+00:00,LVS,0.00016549797,1
2284,2025-12-16 00:00:00+00:00,WRB,0.00016529896,1
1520,2025-12-16 00:00:00+00:00,MTCH,0.00016448225,1
1267,2025-12-16 00:00:00+00:00,KO,0.00016430338,1
2009,2025-12-16 00:00:00+00:00,T,0.00016418642,1
605,2025-12-16 00:00:00+00:00,DD,0.00016376279,1
863,2025-12-16 00:00:00+00:00,FE,0.00016371596,1
438,2025-12-16 00:00:00+00:00,CL,0.00016323246,1
560,2025-12-16 00:00:00+00:00,CTRA,0.00016318135,1
711,2025-12-16 00:00:00+00:00,EBAY,0.0001630532,1
803,2025-12-16 00:00:00+00:00,ETR,0.0001629328,1
176,2025-12-16 00:00:00+00:00,APA,0.00016284327,1
376,2025-12-16 00:00:00+00:00,CCI,0.00016271968,1
1434,2025-12-16 00:00:00+00:00,MKC,0.00016246672,1
931,2025-12-16 00:00:00+00:00,GDDY,0.00016237125,1
1641,2025-12-16 00:00:00+00:00,OKE,0.0001621943,1
1150,2025-12-16 00:00:00+00:00,IP,0.00016172722,1
79,2025-12-16 00:00:00+00:00,AIG,0.0001612604,1
186,2025-12-16 00:00:00+00:00,APH,0.00016115727,1
1262,2025-12-16 00:00:00+00:00,KMX,0.00016103139,1
1370,2025-12-16 00:00:00+00:00,MA,0.00016101782,1
2232,2025-12-16 00:00:00+00:00,VZ,0.00016091438,1
1252,2025-12-16 00:00:00+00:00,KMB,0.00016067579,1
887,2025-12-16 00:00:00+00:00,FITB,0.00016007603,1
1805,2025-12-16 00:00:00+00:00,PWR,0.00016004805,1
703,2025-12-16 00:00:00+00:00,DXCM,0.00015998735,1
1650,2025-12-16 00:00:00+00:00,ON,0.0001599183,1
1994,2025-12-16 00:00:00+00:00,SYF,0.00015987616,1
1175,2025-12-16 00:00:00+00:00,IT,0.00015966847,1
1548,2025-12-16 00:00:00+00:00,NEE,0.00015954784,1
1810,2025-12-16 00:00:00+00:00,PYPL,0.00015948877,1
997,2025-12-16 00:00:00+00:00,GPN,0.00015945846,1
410,2025-12-16 00:00:00+00:00,CFG,0.0001594491,1
1050,2025-12-16 00:00:00+00:00,HLT,0.00015933655,1
546,2025-12-16 00:00:00+00:00,CSGP,0.00015932586,1
610,2025-12-16 00:00:00+00:00,DE,0.00015913397,1
1183,2025-12-16 00:00:00+00:00,IVZ,0.00015908408,1
195,2025-12-16 00:00:00+00:00,ARE,0.0001589419,1
2265,2025-12-16 00:00:00+00:00,WFC,0.00015852827,1
